Leaderboard name,#Empty leaderboards (non-pwc),Downloadable format,Evaluation workflows (non-pwc),Organization strategies (non-pwc),Platforms,Platforms with model linkage (non-pwc),Presentation formats (non-pwc),Publication venues,Release organizations (non-pwc),Submission channels (non-pwc),Participatory models,Evaluation metrics (pwc),Organization strategies,Release organizations,Supported benchmarks,#Supported benchmark,#Presentation format,#Organization strategy,#Release organization,#Host platform,#Evaluation record,#Participatory model,#Leaderboard,#Evaluation metric (pwc)
Open Multilingual LLM Evaluation Leaderboard,,[],['6'],[],['Hugging Face Spaces'],yes,{'Hugging Face Spaces': ['Sortable Table']},[],['University of Oregon'],{'Pull Request'},"['bloom-7b1', 'llama-7B']",set(),[],{'University of Oregon'},"['ARC Challenge', 'MMLU', 'TruthfulQA', 'HellaSwag']",4.0,1.0,0.0,1.0,1.0,62.0,2.0,1.0,
Open Multilingual Reasoning Leaderboard,,[],['2'],['Model Size'],"['GitHub', 'Hugging Face Spaces']",yes,"{'Hugging Face Spaces': ['Sortable Table'], 'GitHub': ['Table']}",['report'],['Nanjing University\n'],set(),"['MathOctopus 7B', 'MistralMathOctopus 7B', 'MistralMathOctopus-MAPO-DPO 7B', 'MetaMath 7B', 'MAmmoTH 7B', 'MathOctopus-MAPO-DPO 13B', 'WizardMath 7B', 'GPT-3.5-Turbo', 'WizardMath 13B', 'MetaMathOctopus-MAPO-DPO 7B', 'MetaMathOctopus-MAPO-DPO 13B', 'QAlign 13B', 'QAlign 7B', 'MetaMath 13B', 'MathOctopus 13B', 'MetaMathOctopus 7B', 'MetaMathOctopus 13B', 'MathOctopus-MAPO-DPO 7B', 'MAmmoTH 13B']",set(),['Model Size'],{'Nanjing University\n'},"['MSVAMP', 'MGSM', 'MNumGLUESub']",3.0,2.0,1.0,1.0,2.0,20.0,19.0,2.0,
Open Parti Prompts Leaderboard,,[],['4'],"['Aggregated Result', 'Supported Functionality', 'Task']",['Hugging Face Spaces'],yes,{'Hugging Face Spaces': ['Sortable Table']},[],['Hugging Face'],set(),"['NOT SOLVED', 'karlo', 'kand2', 'wuerst', 'sdxl']",set(),"['Aggregated Result', 'Supported Functionality', 'Task']",{'Hugging Face'},['PartiPrompts'],1.0,1.0,3.0,1.0,1.0,15.0,5.0,3.0,
Open PL LLM Leaderboard,,[],['Unknown'],[],['Hugging Face Spaces'],yes,{'Hugging Face Spaces': ['Sortable Table']},[],['SpeakLeash'],"{'Discord', 'LinkedIn'}","['mistralai/Mistral-7B-v0.1,peft=lora/output/mistral-7b-v0.1-lora-pl/checkpoint-2000/adapter_model', 'speakleash/apt4-1B/spkl-only-e3_756856c4', 'speakleash/llama-apt3-13B/spkl-only_e0_sft/ext_e2_f7606252', 'speakleash/mistral-PL_7B/epoch_0_hf/', 'sdadas/polish-gpt2-xl', 'speakleash/3-5B_high_base/epoch_2_hf', 'mistralai/Mistral-7B-v0.1,peft=lora/output/mistral-7b-v0.1-lora-pl/checkpoint-400/adapter_model', 'speakleash/apt4-1B/spkl-only-e1_fea4b41b', 'speakleash/apt3-1B_base/apt3-1B-shuffled_hf/', 'openchat/openchat-3.5-1210', 'speakleash/mistral-apt3-7B/only-spi_sft/e0_hf/', 'internlm/internlm2-base-7b', 'speakleash/3-5B_high_base/epoch_3_hf/', 'Voicelab/trurl-2-7b', 'SOTA FT HerBERT', 'speakleash/3-5B_high_sft/epoch_3_base/epoch_2_hf/', 'speakleash/mistral-apt3-7B/spkl_sft/e2_7dc8df86/', 'OPI-PG/Qra-7b', 'speakleash/llama-apt3-7B/only-spi-e0_hf/', 'speakleash/mistral-apt3-7B/only-spi_sft_v2/e5_f75cbc76', 'speakleash/llama-apt3-13B/spkl-only_e0_sft/spkl_e4_e3a666b1', 'speakleash/7B_high_sft/epoch_1_base/epoch_1_hf/', 'speakleash/1B_high_sft/epoch_3_base/epoch_1_hf/', 'speakleash/3-5B_high_sft/epoch_0_base/epoch_1_hf/', 'openchat/openchat-3.5-0106', 'google/gemma-7b-it', 'Baseline', 'speakleash/mistral-apt3-7B/only-spi_sft_v2/e2_3b7fc53e/', 'mistralai/Mistral-7B-Instruct-v0.1', 'speakleash/llama-apt3-7B/spkl-only_sft/e5_hf/', 'speakleash/llama-apt3-13B/spkl-only_e0_sft/spkl_e5_bf95416b', 'RWKV/HF_v5-Eagle-7B', 'internlm/internlm2-7b', 'speakleash/mistral-apt3-7B/spkl_sft/e3_17ef3119/', 'teknium/OpenHermes-2.5-Mistral-7B', 'speakleash/mistral-apt3-7B/spkl_sft_v2/e3_hf/', 'speakleash/apt4-1B/spkl-only-e0_b9c8bb39', 'speakleash/3-5B_high_base/epoch_1_hf', 'speakleash/1B_4k_high_sft/epoch_3_base/epoch_1_hf', 'mistralai/Mistral-7B-v0.1,peft=lora/output/mistral-7b-v0.1-lora-pl/checkpoint-200/adapter_model', 'speakleash/mistral-apt3-7B/spkl_sft_v2/e2_hf/', 'speakleash/mistral-apt3-7B/only-spi_sft_v2/e3_f8b5e568/', 'speakleash/llama-apt3-13B/spkl-plus/e0_caa5ad79/', 'internlm/internlm2-chat-7b', 'speakleash/7B_high_sft/epoch_2_base/epoch_2_hf/', 'speakleash/mistral-apt3-7B/only-spi_sft_v2/e4_bb62a5b8', 'speakleash/3-5B_high_base/epoch_0_hf', 'speakleash/llama-apt3-13B/spkl-only_e0_sft/spkl_e3_45ef6b63', 'speakleash/llama-apt3-7B/spkl-only_sft/e3_hf/', 'Nondzu/zephyr-speakleash-007-pl-8192-32-16-0.05', 'speakleash/7B_high_base/epoch_0_hf', 'HuggingFaceH4/zephyr-7b-alpha', 'speakleash/mistral-apt3-7B/spkl_sft_v2/e4_hf/', 'speakleash/mistral_7B-v2/spkl-only-e0_ef715d74', 'speakleash/3-5B_high_sft/epoch_0_base/epoch_0_hf/', 'speakleash/apt4-1B/spkl-all-e2_bfb44ded', 'mistralai/Mistral-7B-v0.1', 'speakleash/llama-apt3-13B/spkl-only/e0_cc0931c5/', 'meta-llama/Llama-2-7b-hf', 'speakleash/mistral-apt3-7B/apt3-e0_hf/', 'speakleash/7B_high_base/epoch_2_hf/', 'HuggingFaceH4/zephyr-7b-beta', 'mistralai/Mistral-7B-Instruct-v0.2', 'upstage/SOLAR-10.7B-Instruct-v1.0', 'meta-llama/Llama-2-7b-chat-hf', 'mistralai/Mistral-7B-v0.1,peft=lora/output/mistral-7b-v0.1-lora-pl/checkpoint-600/adapter_model', 'OPI-PG/Qra-13b', 'speakleash/polish-mistral-7B/epoch_0_hf/', 'speakleash/7B_high_sft/epoch_0_base/epoch_0_hf/', 'speakleash/llama-apt3-7B/spkl-only_sft/e4_hf/', 'speakleash/1B_high_base/epoch_3_hf/', 'speakleash/mistral-apt3-7B/only-spi_sft_v2/e7_642f3822', 'speakleash/apt3-1B_base/apt3-1B-sequential_hf/', 'internlm/internlm2-chat-1_8b', 'mistralai/Mistral-7B-v0.1,peft=lora/output/mistral-7b-v0.1-lora-pl/checkpoint-2200/adapter_model', 'Azurro/APT3-1B-Base', 'APT3-1B-Instruct-e2', 'speakleash/mistral-apt3-7B/spkl_sft_v2/e5_hf/', 'mistralai/Mistral-7B-v0.1,peft=lora/output/mistral-7b-v0.1-lora-pl/checkpoint-800/adapter_model', 'speakleash/apt4-1B/spkl-all-e0_7f6a991e', 'allegro/plt5-large', 'upstage/SOLAR-10.7B-v1.0', 'google/gemma-7b', 'speakleash/7B_high_sft/epoch_2_base/epoch_1_hf/', 'speakleash/7B_high_sft/epoch_1_base/epoch_2_hf/', 'mistralai/Mistral-7B-v0.1,load_in_4bit=True', 'speakleash/apt4-1B/spkl-all-e1_74a293c8', 'speakleash/mistral-apt3-7B/spi-e0_hf/', 'speakleash/mistral_7B-v2/spkl-only-e2_5dac700d', 'Voicelab/trurl-2-13b-academic', 'speakleash/mistral-apt3-7B/only-spi-e0_hf/', 'microsoft/phi-2', 'speakleash/7B_high_base/epoch_1_hf', 'Remek/Bielik-7B-SP-001,dtype=float16', 'mistralai/Mistral-7B-v0.1,load_in_8bit=True', 'speakleash/apt4-1B/spkl-all-e3_063753f9', 'speakleash/mistral_7B-v2/spkl-only-e1_333887a5', 'Nondzu/zephyr-speakleash-010-pl-3072-32-16-0.01', 'speakleash/llama-apt3-13B/spkl-only_e0_sft/spkl_e2_898ae6c6', 'speakleash/mistral-apt3-7B/only-spi_sft_v2/e6_6b0aa8d6', 'speakleash/3-5B_high_sft/epoch_0_base/epoch_2_hf/', 'SOTA FT Polish RoBERTa', 'speakleash/apt4-1B/spkl-all-e0_7f6a991e,dtype=float16', 'speakleash/1B_high_base/like_apt3-1B_hf/', 'berkeley-nest/Starling-LM-7B-alpha', 'APT3-1B-Instruct-e1', 'speakleash/llama-apt3-13B/spkl-only_e0_sft/ext_e3_23b6bc9b', 'speakleash/llama-apt3-7B/spkl-only_sft/e2_hf/', 'speakleash/10B-4k_high_sft/epoch_3_base/epoch_1_hf/', 'internlm/internlm2-1_8b', 'google/mt5-xl', 'speakleash/apt4-1B/spkl-only-e2_969e76b4', 'OPI-PG/Qra-1b']",set(),[],{'SpeakLeash'},"['NKJP-NER', 'Belebele', '8TAGS', 'PSC', 'PCD', 'PolEmo', 'Did you know?', 'PPC']",8.0,1.0,0.0,1.0,1.0,226.0,113.0,1.0,
Open PT LLM Leaderboard,,[],['4'],[],['Hugging Face Spaces'],yes,"{'Hugging Face Spaces': ['Sortable Table', 'Scatter Plot']}",[],['Federal University of Goiás'],{'Submission Portal'},"['Qwen/Qwen1.5-1.8B-Chat', 'EleutherAI/pythia-6.9b', '01-ai/Yi-34B-Chat', 'Qwen/Qwen1.5-0.5B-Chat', 'teknium/OpenHermes-2-Mistral-7B', 'Qwen/Qwen1.5-0.5B', 'xverse/XVERSE-65B-2', 'huggyllama/llama-30b', 'Qwen/Qwen1.5-72B-Chat', 'Qwen/Qwen-72B-Chat', 'Qwen/Qwen-1_8B-Chat', 'internlm/internlm2-7b', 'JJhooww/Mistral_Relora_Step2k', 'Bruno/Caramelo_7B', 'baseline', 'lmsys/vicuna-13b-v1.5', 'HuggingFaceTB/cosmo-1b', 'nicolasdec/Cabra', 'paulml/OGNO-7B', 'HuggingFaceH4/zephyr-7b-gemma-v0.1', 'EleutherAI/pythia-1b', 'rishiraj/CatPPT', 'internlm/internlm2-chat-7b', 'meta-llama/Llama-2-70b-hf', 'croissantllm/CroissantLLMBase', 'Intel/neural-chat-7b-v3-1', 'facebook/opt-30b', '22h/open-cabrita3b', 'Qwen/Qwen-14B', 'Qwen/Qwen1.5-7B-Chat', 'openlm-research/open_llama_7b_v2', 'fernandosola/bluearara-7B', 'nicolasdec/CabraMistral7b-0.4', 'JJhooww/MistralReloadBR_v2_ptbr', 'HuggingFaceH4/zephyr-7b-beta', 'AI-Sweden-Models/gpt-sw3-40b', 'mistralai/Mistral-7B-Instruct-v0.2', 'upstage/SOLAR-10.7B-Instruct-v1.0', 'Qwen/Qwen-72B', 'Qwen/Qwen1.5-7B', 'allenai/OLMo-7B', 'lrds-code/boana-7b-instruct', 'NousResearch/Nous-Hermes-13b', 'eduagarcia/gemma-7b-it_singleturn_chat_template', 'huggyllama/llama-65b', 'stabilityai/stablelm-zephyr-3b', 'nicholasKluge/TeenyTinyLlama-460m-Chat', 'Qwen/Qwen1.5-14B', 'dominguesm/Canarim-7B-Instruct', 'pucpr/gpt2-bio-pt', '01-ai/Yi-6B-Chat', 'nicholasKluge/Aira-2-portuguese-124M', 'Qwen/Qwen1.5-72B', 'abacusai/Smaug-72B-v0.1', 'pierreguillou/gpt2-small-portuguese', 'NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO', 'Qwen/Qwen1.5-4B', 'recogna-nlp/bode-13b-alpaca-pt-br', 'nicholasKluge/TeenyTinyLlama-160m', 'HeyLucasLeao/gpt-neo-small-portuguese', 'wandgibaut/periquito-3B', 'Qwen/Qwen-7B-Chat', 'microsoft/phi-1', 'fernandosola/bluearara-7B-instruct', 'lmsys/vicuna-7b-v1.5', 'rishiraj/CatPPT-base', 'TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'CohereForAI/aya-101', 'eduagarcia/gemma-7b-it_no_chat_template', 'josu/gpt-neo-pt-1.3B', 'Qwen/Qwen1.5-4B-Chat', 'internlm/internlm2-20b', 'stabilityai/stablelm-2-1_6b', 'NousResearch/Nous-Hermes-2-Mistral-7B-DPO', 'meta-llama/Llama-2-70b-chat-hf', 'openlm-research/open_llama_3b', 'meta-llama/Llama-2-13b-hf', 'internlm/internlm2-base-7b', 'tiiuae/falcon-40b', 'bigscience/bloom-1b7', 'TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T', 'monilouise/opt125M_portuguese', 'internlm/internlm-7b', 'stabilityai/stablelm-3b-4e1t', 'huggyllama/llama-13b', 'openchat/openchat-3.5-0106', 'TencentARC/Mistral_Pro_8B_v0.1', 'google/gemma-7b-it', 'NousResearch/Nous-Hermes-2-SOLAR-10.7B', 'Unbabel/TowerBase-7B-v0.1', 'dynamofl/dynamo-8B-v0.1', 'bardsai/jaskier-7b-dpo-v5.6', 'teknium/OpenHermes-2.5-Mistral-7B', 'xverse/XVERSE-65B', 'nicholasKluge/Aira-2-portuguese-560M', 'openlm-research/open_llama_13b', 'bigscience/bloom-560m', 'mistralai/Mixtral-8x7B-v0.1', 'cnmoro/Mistral-7B-Portuguese', 'dominguesm/canarim-7b', 'maritaca-ai/sabia-7b', 'huggyllama/llama-7b', 'bigscience/bloom-3b', '22h/cabrita_7b_pt_850000', 'nicholasKluge/Aira-2-portuguese-1B7', 'mistralai/Mistral-7B-v0.1', 'meta-llama/Llama-2-7b-hf', 'bigscience/bloom-7b1', 'Bruno/Caramelinho', 'openlm-research/open_llama_3b_v2', 'internlm/internlm-20b', 'argilla/CapybaraHermes-2.5-Mistral-7B', 'nicolasdec/cabra13b', 'FuseAI/OpenChat-3.5-7B-Solar', 'PORTULAN/gervasio-7b-portuguese-ptpt-decoder', 'allenai/OLMo-1B', 'internlm/internlm2-chat-20b', 'PORTULAN/gervasio-7b-portuguese-ptbr-decoder', 'internlm/internlm2-chat-1_8b', 'Qwen/Qwen-1_8B', 'facebook/opt-66b', '01-ai/Yi-6B', 'microsoft/phi-1_5', 'Intel/neural-chat-7b-v3-3', 'internlm/internlm2-base-20b', 'upstage/SOLAR-10.7B-v1.0', 'josu/gpt-neo-pt-br', 'Qwen/Qwen1.5-14B-Chat', 'google/gemma-7b', 'FuseAI/FuseChat-7B-VaRM', 'Qwen/Qwen-7B', 'lrds-code/samba-1.1B', 'NousResearch/Nous-Hermes-2-Yi-34B', 'tiiuae/falcon-7b', 'mistralai/Mixtral-8x7B-Instruct-v0.1', 'microsoft/phi-2', 'argilla/notux-8x7b-v1', 'google/gemma-2b-it', 'facebook/opt-6.7b', 'nicholasKluge/TeenyTinyLlama-460m', 'allenai/OLMo-7B-Twin-2T', 'google/gemma-2b', 'allenai/tulu-2-dpo-13b', 'berkeley-nest/Starling-LM-7B-alpha', 'argilla/notus-7b-v1', 'NOVA-vision-language/GlorIA-1.3B', 'stabilityai/stablelm-2-zephyr-1_6b', 'mlabonne/Monarch-7B', 'internlm/internlm2-1_8b', 'Qwen/Qwen1.5-1.8B', 'recogna-nlp/bode-7b-alpaca-pt-br', 'openlm-research/open_llama_7b']",set(),[],{'Federal University of Goiás'},"['PT Hate Speech', 'BLUEX', 'OAB Exams', 'FaQuAD', 'ENEM', 'ASSIN2', 'tweetSentBR', 'HateBR']",8.0,2.0,0.0,1.0,1.0,155.0,152.0,1.0,
OpenbookQA,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['EMNLP'],[],set(),"['GrapeQA: PEGA', 'FLAN 137B', 'AristoRoBERTa', 'X-Reasoner', 'GPT-NeoX 50B', 'GPT-2-XL 1.5B', 'UnifiedQA 11B', 'BiLSTM max-out question-match', 'LLaMA 65B', 'bloom', 'LLaMA 7B', 'Bloomberg GPT 50B', 'PaLM 62B', 'AristoRoBERTa + QA-GNN', 'T5-Large 738M', 'DEKCOR', 'PaLM 540B', 'Random chance baseline', 'GPT-4 + knowledge base', 'AristoRoBERTa + MVP-Tuning', 'LLaMA 33B', 'LaMini-F-T5 783M', 'Careful Selection', 'PaLM 2-S', 'LaMini-GPT 1.5B', 'GrapeQA: CANP', 'GPT-3 175B', 'FLAN-T5-Large 783M', 'OPT 66B', 'DeBERTa-xxlarge 1.5B + MVP-Tuning', 'PaLM 2-L', 'LLaMA 13B', 'GrapeQA: PEGA+CANP', 'GenMC 11B', 'MVP-Tuning', 'BLOOM 176B', 'TTTTT 3B', 'LaMini-T5 738M', 'PaLM 2-M', 'QA-GNN', 'AristoRoBERTa + Graph Soft Counter']",['accuracy'],{'Task'},{'Papers With Code'},['OpenbookQA'],1.0,2.0,1.0,1.0,1.0,52.0,41.0,3.0,1.0
OpenbookQA,,['CSV'],['6'],[],['independent platform'],yes,"{'independent platform': ['Sortable Table', 'Scatter Plot']}",['EMNLP'],['Allen Institute for AI'],{'Submission Portal'},"['TER', 'TTTTT', 'GenMC', 'Knowledgeable Path Generator + Albert', 'X-Reasoner', 'PipeNet', 'PMV-tuning-deberta-xxlarge', 'UnifiedQA', 'KnowGPT', 'Knowledgeable Path Generator + AristoRoBERTaV7', 'HamQA + AristoRoBERTa', 'T5 11B + KB', 'MHGRN', 'MVP-Tuning Ensemble', 'P-MV-AristoRoberta', 'Random Sanity Check', 'LoInf', 'Question Match', 'PreRS', 'BERT Multi-Task', 'JointLK', 'DeBERTa + UFO', 'Reason-Predict', 'DeBERTa Baseline', 'DRAGON', 'AristoRoBERTaV7', 'Unsupervised CS QA w/ KD + BERT', 'directInf', 'Reading Strategies', 'AMR-SG + AristoRoBERTaV7', 'Anonymous', 'GPT-4 + KB', 'E2QA', 'Unsupervised QA with PT', 'Plausible Answer Detector', 'KF+SIR', 'QA Transfer', 'GSC + AristoRoBERTa', 'ALBERT XXlarge V2 + KB', 'GreaseLM', 'Careful Selection of Knowledge for OpenBook QA', 'LQA', 'Odd-One-Out Solver', 'AristoBERTv7', 'FSP', 'EQA', 'BERT-Large', 'KGInf', 'SalKG-Coarse v0', 'Guess All', 'HGN + AristoRoBERTaV7', 'UL Test', 'sss', 'CGR+ AristoRoBERTav7', 'QAGNN-DeBERTa', 'QA-GNN']",set(),[],{'Allen Institute for AI'},['OpenbookQA'],1.0,2.0,0.0,1.0,1.0,62.0,56.0,1.0,
OpenCompass LLM Leaderboard (v2),,[],['4'],"['Aggregated Result', 'Supported Functionality']","['Hugging Face Spaces', 'independent platform']",yes,"{'independent platform': ['Sortable Table'], 'Hugging Face Spaces': ['Sortable Table']}",[],"['Aliyun', 'East Money', 'Duxiaoman', 'Fudan University', 'Nanjing University', 'Nanyang Technological University', 'OPPO', 'Shanghai AI Laboratory', 'Tencent', 'TigerResearch', 'Chinese University of Hong Kong', 'Zhejiang University', 'Zhipu AI']",{'Submission Portal'},"['LLaMA-2-13B-Chat', 'Baichuan2-7B-Chat', 'Qwen-72B-Chat', 'Yi-34B-Chat', 'Qwen-Max', 'Vicuna-13B-v1.5-16k', 'GPT-4-Turbo', 'Baichuan2-13B-Chat', 'Yi-6B-Chat', 'Mistral-7B-Instruct-v0.2', 'Zephyr-7B-β', 'GPT-3.5-Turbo', 'MiniMax-abab5.5', 'Vicuna-7B-v1.5-16k', 'Qwen1.5-4B-Chat', 'Qwen1.5-7B-Chat', 'WizardLM-70B-V1.0', 'Qwen1.5-72B-Chat', 'InternLM2-Chat-20B', 'ChatGLM3-6B-32K', 'WizardLM-13B-V1.2', 'Erniebot-4.0', 'OrionStar-Yi-34B-Chat', 'Qwen1.5-14B-Chat', 'Qwen-7B-Chat', 'Nanbeige-16B-Chat', 'Baichuan2-Turbo', 'LLaMA-2-7B-Chat', 'LLaMA-2-70B-Chat', 'GLM-4', 'DeepSeek-7B-Chat', 'Mixtral-8x7B-Instruct-v0.1', 'DeepSeek-67B-Chat', 'Qwen-14B-Chat', 'InternLM2-Chat-7B']",set(),"['Aggregated Result', 'Supported Functionality']","{'Shanghai AI Laboratory', 'Nanyang Technological University', 'Zhipu AI', 'OPPO', 'Duxiaoman', 'Fudan University', 'Tencent', 'TigerResearch', 'East Money', 'Nanjing University', 'Alibaba Group', 'Chinese University of Hong Kong', 'Zhejiang University'}","['DS-1000', 'TyDiQA', 'OCNLI', 'LCSTS', 'CSQA', 'HumanEval', 'EPRSTMT', 'OpenbookQA', 'Flores-101', 'DROP', 'ChID', 'MathBench', 'MMLU', 'PIQA', 'BoolQ', 'MBPP', 'NQ', 'WSC', 'COPA', 'GSM8K', 'TriviaQA', 'SIQA', 'CMNLI', 'L-Eval', 'GAOKAO-Bench', 'ReCoRD', 'CMMLU', 'CSL', 'T-Eval', 'AGIEval', 'XSUM', 'ARC Challenge', 'LongBench', 'C3', 'BBH', 'OCRBench', 'LAMBADA', 'RTE', 'Winogender Diagnostic', 'HumanEval-X', 'CIBench', 'Broad-Coverage Diagnostic', 'MATH', 'AFQMC', 'RACE', 'HellaSwag', 'CreationBench', 'WiC', 'C-Eval']",49.0,1.0,2.0,13.0,2.0,831.0,35.0,24.0,
OpenEval (code),,[],['2'],[],['GitHub'],,{'GitHub': ['Regular Table']},['report'],"['Nanjing University of Aeronautics and Astronautics', 'Nantong University', 'Monash University', 'Commonwealth Scientific and Industrial Research Organisation', 'University of London']",set(),"['StarCoder', 'CodeGen', 'CodeT5+']",set(),[],"{'Commonwealth Scientific and Industrial Research Organisation', 'Nanjing University of Aeronautics and Astronautics', 'University of London', 'Monash University', 'Nantong University'}",['OpenEval'],1.0,1.0,0.0,5.0,1.0,10.0,3.0,1.0,
OpenEval (text),,[],"['6', '4']",['Supported Functionality'],['independent platform'],,{'independent platform': ['Sortable Table']},[],"['Tianjin University', 'Zhengzhou University', 'China Academy of Information and Communications Technology', 'China Software Test Center', 'University of Macau', 'Macau University of Science and Technology', 'Chinese University of Hong Kong', 'Shanghai Jiao Tong University']",{'Submission Portal'},"['Baichuan2-7B', 'Baichuan2-7B-Chat', 'Skywork-13B', 'Qwen-72B-Chat', 'Yi-34B-Chat', 'BELLE-7B-2M', 'Baichuan2-13B-Chat', 'Chinese-LLaMA-2-13B', 'Baichuan-NPC-Lite', 'LLaMA-2-7B', 'RoleEval-Global', 'Qwen-7B', 'LLaMA-65B', 'Internlm-Chat-7B-v1_1', 'Qwen-14B', 'Falcon-7B', 'LLaMA-2-70B', 'MiniMax', 'Chinese-LLaMA-2-7B', 'Baichuan-NPC-Turbo', 'Internlm-Chat-7B', 'GPT-3.5-0613', 'ChatGLM3-6B', 'Baichuan2-13B', 'LLaMA-7B', 'Yi-34B', 'LLaMA-2-13B', 'LLaMA-13B', 'Qwen-7B-Chat', 'Mistral-7B', 'Model', 'MOSS-SFT-16B', 'GPT-3.5-1106', 'Qwen-72B', 'GPT-4-0613', 'LLaMA-30B', 'Yi-6B', 'Falcon-40B', 'GPT-4-1106']",set(),['Supported Functionality'],"{'Zhengzhou University', 'China Academy of Information and Communications Technology', 'University of Macau', 'Macau University of Science and Technology', 'China Software Test Center', 'Shanghai Jiao Tong University', 'Chinese University of Hong Kong', 'Tianjin University'}","['TOCP', 'CBBQ', 'SNLI', 'CORGI-PM', 'CooridinateAI', 'WPLC', 'BiPaR', 'OL-CC', 'TUMCC', 'ChID', 'WSC', 'SWSR', 'CommonMT', 'CMNLI', 'GAOKAO-Bench', 'Power-seeking', 'Guilt Law', 'CMMLU', 'Self-awareness', 'C3', 'TGEA', 'SQuAD', 'One-box Tendency', 'Myopia Reward', 'COLD', 'M3KE', 'WGlaw', 'RoleEval', 'Corrigible', 'CAIL', 'CDIAL-BIAS']",31.0,1.0,1.0,8.0,1.0,174.0,39.0,8.0,
OpenVLM Leaderboard,,['JSON'],['4'],"['Aggregated Result', 'Benchmark Dataset']","['Hugging Face Spaces', 'independent platform']",yes,"{'independent platform': ['Sortable Table'], 'Hugging Face Spaces': ['Sortable Table']}",[],"['Aliyun', 'East Money', 'Duxiaoman', 'Fudan University', 'Nanjing University', 'Nanyang Technological University', 'OPPO', 'Shanghai AI Laboratory', 'Tencent', 'TigerResearch', 'Chinese University of Hong Kong', 'Zhejiang University', 'Zhipu AI']",{'Submission Portal'},"['IDEFICS-80B-Instruct', 'LLaVA-v1.5-13B', 'Qwen-VL', 'CogVLM-17B-Chat', 'Qwen-VL-Plus', 'InstructBLIP-7B', 'Yi-VL-34B', 'LLaVA-InternLM2-7B', 'MiniGPT-4-v1-7B', 'LLaVA-v1-7B', 'Qwen-VL-Max', 'LLaVA-InternLM-7B', 'Emu2_chat', 'MiniGPT-4-v2', 'mPLUG-Owl2', 'OmniLMM-12B', 'MMAlaya', 'VisualGLM', 'GeminiProVision', 'InternLM-XComposer2-VL', 'MiniCPM-V', 'TransCore-M', 'ShareGPT4V-13B', 'IDEFICS-9B-Instruct', 'Yi-VL-6B', 'Qwen-VL-Chat', 'Monkey-Chat', 'GPT-4v', 'PandaGPT-13B', 'LLaVA-v1.5-7B', 'Step-1V', 'ShareGPT4V-7B', 'LLaVA-InternLM2-20B', 'OpenFlamingo v2', 'InternLM-XComposer-VL', 'SharedCaptioner', 'Monkey']",set(),"['Aggregated Result', 'Benchmark Dataset']","{'Shanghai AI Laboratory', 'Nanyang Technological University', 'Zhipu AI', 'OPPO', 'Duxiaoman', 'Fudan University', 'Tencent', 'TigerResearch', 'East Money', 'Nanjing University', 'Alibaba Group', 'Chinese University of Hong Kong', 'Zhejiang University'}",['OpenVLM Leaderboard'],1.0,1.0,2.0,13.0,2.0,1248.0,37.0,17.0,
OVEN,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['PLMR'],[],set(),"['RECO', 'PaLI-X', 'CLIP2CLIP', 'PaLI']",['accuracy'],{'Task'},{'Papers With Code'},['OVEN'],1.0,2.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0
PCA-Bench,,['XLSX'],['6'],['Dataset Slice'],['GitHub'],yes,{'GitHub': ['Regular Table']},['report'],"['Peking University', 'Tencent']",{'Email'},"['Yi-VL-34B', 'Deepseek-VL-7B-chat', 'LLaVA-1.5 7B', 'Qwen-VL-Max', 'GPT4-Vision-1106', 'LLaVA-1.5 13B', 'Yi-VL-6B', 'Qwen-VL-Chat', 'Gemini Pro Vision']",set(),['Dataset Slice'],"{'Peking University', 'Tencent'}",['PCA-Bench'],1.0,1.0,1.0,2.0,1.0,9.0,9.0,1.0,
Pets37,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['CVPR'],[],set(),"['ViT  R26 + S/32', 'ALIGN', 'TNT-B', 'AutoAugment', 'SEER', 'NAT-M2', 'NAT-M4', 'IELT', 'Bamboo', 'OmniVec', 'DINOv2', 'EfficientNet-B7', 'NAT-M3', 'FixSENet-154', 'AutoFormer-S | 384', 'µ2Net']","['accuracy', 'top-1 error rate', 'flops', '#parameters']",{'Task'},{'Papers With Code'},['Pets37'],1.0,2.0,1.0,1.0,1.0,16.0,16.0,1.0,4.0
