Leaderboard name,#Empty leaderboards (non-pwc),Display format (non-pwc),Feedback manners (iw),Host platforms,Host platforms with leaderboard downloading functionality (non-pwc),Host platforms with model linkage (non-pwc),Publishing organizations (non-pwc),Publishing venues,Structuring strategies (non-pwc),Submission artifacts (non-pwc),Submission manners (non-pwc),Supported languages,Supported modalities
NQ,,,,pwc,,,,TACL,,,,English,Text
OCRBench,,hf:Sortable Table,,hf,hf,hf,"Huazhong University of Science and Technology,Microsoft,University of Science and Technology Beijing,Chinese Academy of Sciences,South China University of Technology",Preprint,,Evaluation Results,Email,English,"Text,Image"
ODEX,,gh:Table Screenshot,,gh,,,"Carnegie Mellon University,Inspired Cognition",Preprint,,,,"English, Spanish,Japanese,Russian","Text,Code"
OK-VQA,,,,pwc,,,,CVPR,,,,English,"Text,Image"
OmniBenchmark,,,,pwc,,,,ECCV,,,,English,"Text,Image"
Open Ko-LLM Leaderboard,,hf:Sortable Table,,hf,,hf,Upstage,,,Model Repository,Submission Portal,Korean,Text
Open LLM Leaderboard,,hf:Sortable Table,,hf,,hf,Hugging Face,,,Model Repository,Submission Portal,English,Text
Open Multilingual LLM Evaluation Leaderboard,,hf:Sortable Table,,hf,,hf,University of Oregon,,,Prediction Results,Pull Request,"Russian,German,Chinese,French,Spanish,Italian,Dutch,Vietnamese,Indonesian,Arabic,Hungarian,Romanian,Danish,Slovak,Ukrainian,Catalan,Serbian,Croatian,Hindi,Bengali,Tamil,Nepali,Malayalam,Marathi,Telugu,Kannada",Text
OpenbookQA,,,,pwc,,,,EMNLP,,,,English,Text
OpenbookQA,,iw:Sortable Table+Scatter Plot,Contact,iw,iw,iw,Allen Institute for AI,EMNLP,,Prediction Results,Submission Portal,English,Text
OpenCompass LLM Leaderboard (v2),,"iw:Sortable Table,hf:Sortable Table",,"hf,iw",,"hf,iw","Aliyun,East Money,Duxiaoman,Fudan University,Nanjing University,Nanyang Technological University,OPPO,Shanghai AI Laboratory,Tencent,TigerResearch,Chinese University of Hong Kong,Zhejiang University,Zhipu AI",,"Aggregated Result,Supported Functionality","Inference API+Model Configuration,Model Repository+Model Configuration",Submission Portal,"English,Chinese","Text,Code"
OpenEval (code),,gh:Regular Table,,gh,,,"Nanjing University of Aeronautics and Astronautics,Nantong University,Monash University,Commonwealth Scientific and Industrial Research Organisation,University of London",Preprint,,,,English,"Text,Code"
OpenEval (text),,iw:Sortable Table,,iw,,,"Tianjin University,Zhengzhou University,China Academy of Information and Communications Technology,China Software Test Center,University of Macau,Macau University of Science and Technology,Chinese University of Hong Kong,Shanghai Jiao Tong University",,Supported Functionality,"Prediction Results,Inference API",Submission Portal,Chinese,Text
Pets37,,,,pwc,,,,CVPR,,,,English,"Text,Image"
PIQA,,,,pwc,,,,AAAI,,,,English,Text
PIQA,,iw:Sortable Table+Scatter Plot,Contact,iw,iw,iw,Allen Institute for AI,AAAI,,Prediction Results,Submission Portal,English,Text
PMC-VQA,,,,pwc,,,,Preprint,,,,English,"Text,Image"
Program Synthesis Models Leaderboard,,iw:Regular Table,"Contact,Issue",iw,,iw,Accubits,,,,,English,"Text,Code"
PromptBench,,gh:Regular Table,,gh,,,"Microsoft Research Asia,Chinese Academy of Sciences,University of Science and Technology of China,Carnegie Mellon University",Preprint,"Task,Benchmark",,,English,Text
ProtoQA,,iw:Sortable Table+Scatter Plot,Contact,iw,iw,iw,Allen Institute for AI,EMNLP,,Prediction Results,Submission Portal,English,Text
Provider Leaderboard,,iw:Sortable Table,Contact,iw,,,Martian,,"Output Length,Service Load",,,English,Text
PubMedQA,,,,pwc,,,,EMNLP,,,,English,Text
PubMedQA,,gh:Regular Table,,gh,,gh,"University of Pittsburgh,Carnegie Mellon University,Google",EMNLP,,Prediction Results,Email,English,Text
Q-Bench,,"gh:Sortable Table+Regular Table,hf:Sortable Table",,"gh,hf",hf,,"Nanyang Technological University,Shanghai Jiao Tong University,SenseTime",ICLR,,,,"English,Chinese","Text,Image"
QASC,,iw:Sortable Table+Scatter Plot,Contact,iw,iw,iw,Allen Institute for AI,AAAI,,Prediction Results,Submission Portal,English,Text
QNLI,,,,pwc,,,,EMNLP,,,,English,Text
QQP,,,,pwc,,,,,,,,English,Text
QuALITY,,gh:Regular Table,,gh,,gh,New York University,NAACL,,Prediction Results,"Email,Questionaire",English,Text
RACE,,,,pwc,,,,EMNLP,,,,English,Text
RAFT,,,,pwc,,,,NeurIPS,,,,English,Text
RAFT,,hf:Regular Table,,hf,,,"Ought,Hugging Face,Stiftung Neue Verantwortung,Nippon Telegraph and Telephone,University of Oxford,Alan Turing Institute,Harvard University,Australian Catholic University",NeurIPS,,Evaluation Results,Metadata Upload,English,Text
ReCoRD,,,,pwc,,,,Preprint,,,,English,Text
Red-Eval,,gh:Regular Table,,gh,,,Singapore University of Technology and Design,Preprint,,,,English,Text
RefCOCO,,,,pwc,,,,EMNLP,,,,English,"Text,Image"
ReForm-Eval,,gh:Regular Table,,gh,,,"Fudan University,Northeastern University,Alibaba Group,Hong Kong University of Science and Technology",Preprint,,Evaluation Results,Email,English,"Text,Image"
Robust (2004),,,,pwc,,,,TREC,,,,English,Text
RoleEval,,gh:Regular Table,,gh,,,"Tianjin University,China Academy of Information and Communications Technology",Preprint,"Evaluation Dataset,Supported Language",Prediction Results,Email,"English,Chinese",Text
RTE,,,,pwc,,,,TAC,,,,English,Text
Safety-Prompts,,iw:Regular Table,"Contact,Issue",iw,,iw,Tsinghua University,Preprint,Evaluation Dataset,Prediction Results,Submission Portal,Chinese,Text
SafetyBench,,"iw:Regular Table,gh:Bar Chart",,"gh,iw",,"gh,iw","Tsinghua University,Northwest Minzu University,Peking University,China Mobile",Preprint,"Evaluation Dataset,Supported Language",Prediction Results,Submission Portal,"English,Chinese",Text
ScandEval,,iw:Sortable Table,,iw,iw,,Alexandra Institute,NoDaLiDa,Supported Language,,,"English,Danish,Swedish,Norwegian,Icelandic,German,Dutch,Finnish,Russian,Arabic",Text
ScienceQA,,,,pwc,,,,NeurIPS,,,,English,"Text,Image"
ScienceQA,,gh:Sortable Table,,gh,,gh,"University of California Los Angeles,Arizona State University,Allen Institute for AI",NeurIPS,,Evaluation Results,"Email,Issue",English,"Text,Image"
SciGraphQA,,gh:Regular Table,,gh,,,Independent Contributor,Preprint,,,,English,"Text,Image"
SciQ,,,,pwc,,,,WNUT,,,,English,Text
SCROLLS,,iw:Regular Table,Contact,iw,,,"Tel Aviv University,International Business Machines,Meta",Preprint,,Prediction Results,Submission Portal,English,Text
SEED-Bench Leaderboard,,hf:Sortable Table,,hf,,hf,"Tencent AI Lab,Tencent PCG ARC Lab,Chinese University of Hong Kong",Preprint,Benchmark,Prediction Results,Submission Portal,English,"Text,Image,Video"
Sherlock,,iw:Sortable Table+Scatter Plot,Contact,iw,iw,iw,Allen Institute for AI,ECCV,,Prediction Results,Submission Portal,English,"Text,Image"
SICK,,,,pwc,,,,LREC,,,,English,Text
SIQA,,,,pwc,,,,"EMNLP,IJCNLP",,,,English,Text
SIQA,,iw:Sortable Table+Scatter Plot,Contact,iw,iw,iw,Allen Institute for AI,"EMNLP,IJCNLP",,Prediction Results,Submission Portal,English,Text
Something-Something (v2),,,,pwc,,,,ICCV,,,,English,"Text,Video"
Spider,,,,pwc,,,,EMNLP,,,,English,"Text,Code"
Spider,,gh:Regular Table,,gh,,gh,Yale University,EMNLP,Evaluation Metric,Prediction Results,Email,English,"Text,Code"
SQuAD,,,,pwc,,,,EMNLP,,,,English,Text
SST,,,,pwc,,,,EMNLP,,,,English,Text
STAR,,,,pwc,,,,NeurIPS,,,,English,"Text,Video"
StereoSet,,,,pwc,,,,"ACL,IJCNLP",,,,English,Text
StoryCloze,,,,pwc,,,,NAACL,,,,English,Text
StrategyQA,,,,pwc,,,,TACL,,,,English,Text
StrategyQA,,iw:Sortable Table+Scatter Plot,Contact,iw,iw,iw,Allen Institute for AI,TACL,,Prediction Results,Submission Portal,English,Text
STS-B,,,,pwc,,,,EMNLP,,,,English,Text
SummEdits,,gh:Regular Table,,gh,,,Salesforce,Preprint,,,,English,Text
SuperCLUE,,"iw:Sortable Table,gh:Regular Table",,"gh,iw",,,"CLUE,Westlake University",Preprint,"Task,Aggregated Result,Supported Functionality,Model Accessibility,Leaderboard Launch Date",?,"Email,WeChat",Chinese,Text
SuperCLUE-Agent,,"iw:Sortable Table+Table Screenshot,gh:Regular Table",,"gh,iw",,,CLUE,,"Task,Aggregated Result,Supported Functionality",?,"Email,WeChat",Chinese,Text
SuperCLUE-Auto,,"iw:Sortable Table,gh:Regular Table",,"gh,iw",,,CLUE,,"Task,Aggregated Result",?,"Email,WeChat",Chinese,Text
SuperCLUE-Math6,,gh:Regular Table,,gh,,,CLUE,Preprint,"Benchmark,Evaluation Metric",?,"Email,WeChat",Chinese,Text
SuperCLUE-Safety,,"iw:Sortable Table+Regular Table,gh:Regular Table",,"gh,iw",,,CLUE,Preprint,"Task,Aggregated Result",?,"Email,WeChat",Chinese,Text
SuperCLUEgkzw,,gh:Regular Table,,gh,,,CLUE,,,?,"Email,WeChat",Chinese,Text
SuperCLUElyb,,gh:Table Screenshot,,gh,,,CLUE,,,"Inference API,Model Repository",Questionaire,Chinese,Text
SuperGLUE,,iw:Regular Table,"Contact,Issue",iw,,iw,"New York University,Meta,University of Washington,Google DeepMind",NeurIPS,,Prediction Results,Submission Portal,English,Text
SuperLim (v2),,iw:Sortable Table,"Contact,Issue",iw,,,"University of Gothenburg,National Library of Sweden,Embark Studios,AI Sweden,iguanodon.ai",EMNLP,Evaluation Dataset,Prediction Results+Evaluation Results+Model Repository,Pull Request,Swedish,Text
SVAMP,,,,pwc,,,,NAACL,,,,English,Text
SWE-bench,,,,pwc,,,,Preprint,,,,English,"Text,Code"
SWE-bench,,iw:Regular Table,"Contact,Issue",iw,,,"Princeton University,University of Chicago",Preprint,Task,?,Email,English,"Text,Code"
T-Eval,,gh:Regular Table+Table Screenshot+Scatter Plot,,gh,,gh,"University of Science and Technology of China,Shanghai AI Laboratory,Tsinghua University,Jilin University",Preprint,Supported Language,Prediction Results,"Issue,Email","English,Chinese",Text
TabMWP,,gh:Sortable Table+Regular Table,,gh,,gh,"University of California Los Angeles,Georgia Institute of Technology,Allen Institute for AI",ICLR,,Evaluation Results,"Email,Issue",English,Text
TACRED,,,,pwc,,,,EMNLP,,,,English,Text
TAT-DQA,,gh:Regular Table,,gh,,,"National University of Singapore,6Estates,Sichuan University,University of Science and Technology of China",ACM-MM,,Prediction Results,Email,English,Text
TAT-QA,,gh:Regular Table,,gh,,,"National University of Singapore,6Estates,Sichuan University,Bloomberg",ACL,,Prediction Results,Email,English,Text
TextSynth Server,,iw:Regular Table,Contact,iw,,iw,Independent Contributor,,"Service Load,Task,Benchmark",,,English,"Text,Image"
TGIF-QA,,,,pwc,,,,IJCV,,,,English,"Text,Video"
The Pile,,,,pwc,,,,Preprint,,,,English,Text
The Pile,,iw:Regular Table,"Contact,Issue",iw,,,EleutherAI,Preprint,,?,Email,English,Text
TheoremQA,,gh:Regular Table,,"gh,pwc",,,"University of Waterloo,UC Santa Barbara,University of California Los Angeles",Preprint,,,,English,Text
Toloka LLM Leaderboard,,"hf:Sortable Table,iw:Sortable Table",,"hf,iw",,,Toloka,,,,,English,Text
Toolbench Leaderboard,,hf:Sortable Table,,hf,,hf,SambaNova Systems,Preprint,,,,English,Text
TouchStone,,gh:Table Screenshot,,gh,,,"Alibaba Group,Huazhong University of Science and Technology,Tsinghua University",Preprint,,,,English,"Text,Image"
TravelPlanner,,"hf:Sortable Table,gh:Table Screenshot+Pie Chart",,"gh,hf",,,"Fudan University,Ohio State University,Pennsylvania State University,Meta",Preprint,"Task,Evaluation Dataset",Prediction Results,Submission Portal,English,Text
TREC-COVID,,,,pwc,,,,ACM SIGIR Forum,,,,English,Text
TriviaQA,,,,pwc,,,,ACL,,,,English,Text
TrustLLM,,gh:Sortable Table,,gh,,,"Lehigh University,Illinois Institute of Technology,Institut Polytechnique de Paris,College of William & Mary,Texas A&M University,University of Georgia,Samsung Research America,Stanford University,Lawrence Livermore National Laboratory,Salesforce,University of Wisconsin Madison,Microsoft,Carnegie Mellon University,University of Maryland,University of California Berkeley,University of Illinois Urbana Champaign,University of North Carolina Chapel Hill,Massachusetts Institute of Technology,Harvard University,University of Notre Dame,Duke University,University of Tennessee Knoxville,University of Southern California,Michigan State University,Microsoft Research Asia,Drexel University,University of California Los Angeles,Virginia Polytechnic Institute and State University,Cyber Intelligence Sharing and Protection Act,University of Illinois Chicago,International Business Machines,Yale University,Columbia University,University of California Santa Barbara,Massachusetts General Hospital,Northwestern University,Florida International University,Johns Hopkins University,University of Pennsylvania,Mohamed bin Zayed University of AI",Preprint,Supported Functionality,Prediction Results,Questionaire,English,Text
TruthfulQA,,,,pwc,,,,ACL,,,,English,Text
TruthfulQA,,gh:Regular Table,,gh,,,"University of Oxford,OpenAI",ACL,Leaderboard Version,,,English,Text
tStoryCloze,,gh:Regular Table,,gh,,,"Meta FAIR,OpenAI,Hebrew University of Jerusalem",NeurIPS,,,,English,Text
TVQA,,,,pwc,,,,EMNLP,,,,English,"Text,Video"
TyDiQA,,,,pwc,,,,TACL,,,,"English,Arabic,Bengali,Finnish,Japanese,Indonesian,Kiswahili,Korean,Russian,Telugu,Thai",Text
UCF101,,,,pwc,,,,Preprint,,,,English,"Text,Video"
UHGEval,,gh:Table Screenshot,,"gh,hf",,,"Renmin University of China,Institute for Advanced Algorithms Research,Xinhua",Preprint,"Task,Supported Functionality",,,Chinese,Text
VBench,,"hf:Sortable Table,gh:Sortable Table",,"gh,hf",,"gh,hf","Nanyang Technological University,Shanghai AI Laboratory,Chinese University of Hong Kong,Nanjing University",Preprint,Aggregated Result,Prediction Results,Submission Portal,English,"Text,Video"
VCR,,,,pwc,,,,CVPR,,,,English,"Text,Image"
VGGSound,,,,pwc,,,,ICASSP,,,,English,"Text,Audio"
Video-Bench,,hf:Sortable Table,,hf,,,"Peking University,Peng Cheng Laboratory,Microsoft,FarReel AI Lab",Preprint,,Prediction Results+Model Repository,Submission Portal,English,"Text,Video"
VideoInstruct,,,,pwc,,,,Preprint,,,,English,"Text,Video"
ViP-Bench,,,,pwc,,,,Preprint,,,,English,"Text,Image"
ViP-Bench,,gh:Table Screenshot,,gh,,,"University of Wisconsin Madison,Cruise",Preprint,,,,English,"Text,Image"
VisDial,,,,pwc,,,,CVPR,,,,English,"Text,Image"
VisIT-Bench,,"hf:Sortable Table,gh:Sortable Table",,"gh,hf",hf,,"Hebrew University of Jerusalem,Google,University of California Los Angeles,Allen Institute for AI,University of Washington,UC Santa Barbara,Stanford University,Large-scale AI Open Network",NeurIPS,,Prediction Results,Email,English,"Text,Image"
VisualWebArena,,iw:Regular Table,"Contact,Issue",iw,,,Carnegie Mellon University,Preprint,,,,English,"Text,Image"
VizWiz,,,,pwc,,,,CVPR,,,,English,"Text,Image"
VLM-Eval,,gh:Regular Table,,gh,,gh,"Megvii,Shanghai Jiao Tong University",Preprint,,Prediction Results,Pull Request,English,"Text,Video"
VNHSGE,,,,pwc,,,,Preprint,,,,"English,Vietnamese",Text
VoxPopuli,,,,pwc,,,,ACL,,,,"Bulgarian,Czech,Croatian,Danish,Dutch,English,Estonian,Finnish,French,German,Greek,Hungarian,Italian,Latvian,Lithuanian,Maltese,Polish,Portuguese,Romanian,Slovak,Slovene,Spanish,Swedish","Text,Audio"
VQA (v2),,,,pwc,,,,CVPR,,,,English,"Text,Image"
WebQuestions,,,,pwc,,,,EMNLP,,,,English,Text
WebQuestionsSP,,,,pwc,,,,ACL,,,,English,"Text,Code"
WebVid,,,,pwc,,,,ICCV,,,,English,"Text,Video"
WenetSpeech,,,,pwc,,,,ICASSP,,,,Chinese,"Text,Audio"
Whoops,,,,pwc,,,,ICCV,,,,English,"Text,Image"
WiC,,,,pwc,,,,NAACL,,,,English,Text
WikiEvents,,,,pwc,,,,AAAI,,,,English,Text
WikiText-103,,,,pwc,,,,ICLR,,,,English,Text
WikiText-2,,,,pwc,,,,ICLR,,,,English,Text
WinoGrande,,,,pwc,,,,AAAI,,,,English,Text
WinoGrande,,iw:Sortable Table+Scatter Plot,Contact,iw,iw,iw,Allen Institute for AI,AAAI,,Prediction Results,Submission Portal,English,Text
Winoground,,,,pwc,,,,CVPR,,,,English,"Text,Image"
WMT (2014),,,,pwc,,,,WMT,,,,English,Text
WNLI,,,,pwc,,,,EMNLP,,,,English,Text
WQSP,,,,pwc,,,,ACL,,,,English,Text
WSC,,,,pwc,,,,AI Magazine,,,,English,Text
Xiezhi,,gh:Table Screenshot,,gh,,,Fudan University,Preprint,,,,"English,Chinese",Text
XSUM,,,,pwc,,,,EMNLP,,,,English,Text
YALL,,hf:Sortable Table+Bar Chart,,"gh,hf",hf,gh,Independent Contributor,,Benchmark,,,English,Text
YouCook2,,,,pwc,,,,AAAI,,,,English,"Text,Video"
αNLI,,iw:Sortable Table+Scatter Plot,Contact,iw,iw,iw,Allen Institute for AI,ICLR,,Prediction Results,Submission Portal,English,Text
